Signal_values,TimeStamp
2077,2019-03-01 01:55:25.205
2073,2019-03-01 01:55:25.215
2070,2019-03-01 01:55:25.225
2072,2019-03-01 01:55:25.235
2081,2019-03-01 01:55:25.245
2088,2019-03-01 01:55:25.255
2094,2019-03-01 01:55:25.265
2090,2019-03-01 01:55:25.275
2101,2019-03-01 01:55:25.285
2101,2019-03-01 01:55:25.295
2107,2019-03-01 01:55:25.305
2120,2019-03-01 01:55:25.315
2115,2019-03-01 01:55:25.325
2112,2019-03-01 01:55:25.335
2115,2019-03-01 01:55:25.345
2119,2019-03-01 01:55:25.355
2125,2019-03-01 01:55:25.365
2121,2019-03-01 01:55:25.375
2122,2019-03-01 01:55:25.385
2125,2019-03-01 01:55:25.395
2125,2019-03-01 01:55:25.445
2121,2019-03-01 01:55:25.455
2106,2019-03-01 01:55:25.465
2106,2019-03-01 01:55:25.475
2094,2019-03-01 01:55:25.485
2093,2019-03-01 01:55:25.495
2083,2019-03-01 01:55:25.505
2085,2019-03-01 01:55:25.515
2093,2019-03-01 01:55:25.525
2092,2019-03-01 01:55:25.535
2092,2019-03-01 01:55:25.545
2093,2019-03-01 01:55:25.555
2103,2019-03-01 01:55:25.565
2096,2019-03-01 01:55:25.575
2100,2019-03-01 01:55:25.585
2108,2019-03-01 01:55:25.595
2107,2019-03-01 01:55:25.605
2114,2019-03-01 01:55:25.615
2109,2019-03-01 01:55:25.625
2108,2019-03-01 01:55:25.635
2106,2019-03-01 01:55:25.645
2113,2019-03-01 01:55:25.655
2106,2019-03-01 01:55:25.665
2113,2019-03-01 01:55:25.675
2103,2019-03-01 01:55:25.685
2109,2019-03-01 01:55:25.695
2110,2019-03-01 01:55:25.705
2101,2019-03-01 01:55:25.715
2095,2019-03-01 01:55:25.725
2095,2019-03-01 01:55:25.735
2082,2019-03-01 01:55:25.745
2080,2019-03-01 01:55:25.755
2077,2019-03-01 01:55:25.765
2071,2019-03-01 01:55:25.775
2064,2019-03-01 01:55:25.785
2058,2019-03-01 01:55:25.795
2058,2019-03-01 01:55:25.805
2058,2019-03-01 01:55:25.815
2057,2019-03-01 01:55:25.825
2062,2019-03-01 01:55:25.835
2064,2019-03-01 01:55:25.845
2058,2019-03-01 01:55:25.855
2073,2019-03-01 01:55:25.865
2075,2019-03-01 01:55:25.875
